id,text,species,expected_class,expected_urgency,topic,tone,author_model,author_severe_sign,marked_by
j23,"Minha cachorra teve filhotes semana passada e agora começou a andar meio dura, toda travada e com os músculos tremendo. Acho que é só cansaço de cuidar dos filhotes, ela deve melhorar se descansar um pouco.",cao,EMERGENCIA,imediato,eclampsia,calmo,gemini-3.1-flash-lite,tremores musculares e rigidez,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j24,"Cheguei do trabalho e meu gato não consegue levantar as patas de trás, ele tá se arrastando pelo chão. Ele não mia de dor, mas não mexe as pernas traseiras de jeito nenhum.",gato,EMERGENCIA,imediato,acute_hindlimb_paralysis,neutro,gemini-3.1-flash-lite,incapacidade de mover os membros posteriores,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j25,"Meu cachorro tá meio caidinho e com as gengivas bem brancas, parece que tá sem sangue. Ele tá comendo menos, mas acho que é só o calor, logo ele volta ao normal.",cao,EMERGENCIA,imediato,tick_borne_disease_anemia,calmo,gemini-3.1-flash-lite,gengivas pálidas,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j26,"Meu gatinho recém-nascido tá gelado, não quer mamar de jeito nenhum e tá tão fraquinho que nem levanta a cabeça! Estou desesperada, acho que ele vai morrer se não fizer alguma coisa urgente agora!",gato,EMERGENCIA,imediato,fading_neonate,aflito,gemini-3.1-flash-lite,hipotermia e recusa alimentar,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j27,"Meu cachorro comeu um pedaço grande de chocolate meio amargo que caiu no chão, mas ele parece super bem. Acho que não vai dar nada, é só um pedacinho, não precisa de preocupação.",cao,EMERGENCIA,imediato,chocolate_toxicosis,calmo,gemini-3.1-flash-lite,ingestão de chocolate (substância tóxica),IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j28,"Meu cachorro comeu um punhado de uvas que caiu no chão ontem à noite. Agora ele não quer comer nada e tá vomitando muito, além de não ter feito xixi desde cedo.",cao,EMERGENCIA,imediato,grape_xylitol_toxicosis,neutro,gemini-3.1-flash-lite,anúria (não ter feito xixi),IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j29,"Meu gato deu um pulo da estante e ficou estirado no chão, mas acho que só levou um susto. A boca dele tá bem branca, mas ele já tá respirando, deve ser só preguiça.",gato,EMERGENCIA,imediato,collapse_and_pale_gums,calmo,gemini-3.1-flash-lite,gengiva pálida,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j30,"Socorro, meu gato tá morrendo, ele não consegue respirar de jeito nenhum e a língua dele tá ficando toda roxa! Estou desesperada, ele tá abrindo a boca pra tentar puxar o ar, parece que vai sufocar agora!",gato,EMERGENCIA,imediato,respiratory_distress,aflito,gemini-3.1-flash-lite,língua roxa (cianose),IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j31,"Achei um pedaço de veneno de rato perto da casinha, mas ele nem parece ter comido muito. O cocô dele tá saindo com um pouco de sangue agora, mas deve ser só uma irritação boba.",cao,EMERGENCIA,imediato,anticoagulant_rodenticide_poisoning,calmo,gemini-3.1-flash-lite,sangue nas fezes,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j32,"Meu cachorro começou a andar de lado e está caindo toda hora, parece que perdeu o equilíbrio. Os olhos dele não param de mexer de um lado para o outro sozinhos.",cao,EMERGENCIA,imediato,vestibular_syndrome_otitis_interna,neutro,gemini-3.1-flash-lite,nistagmo (olhos mexendo sozinhos),IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j33,"Minha gatinha tá saindo uma secreção branca da parte de trás e ela tá meio quietinha, mas acho que é só uma limpeza normal. Vou esperar até amanhã pra ver se ela melhora.",gato,EMERGENCIA,imediato,pyometra,calmo,gemini-3.1-flash-lite,secreção purulenta,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j34,"Meu gato tá tendo um ataque, ele tá respirando muito rápido e ofegante, parece que o coração vai explodir! Estou em pânico, ele não consegue ficar quieto e parece que vai desmaiar a qualquer segundo!",gato,EMERGENCIA,imediato,congestive_heart_failure,aflito,gemini-3.1-flash-lite,respiração ofegante e rápida,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j35,"Ele ficou correndo no sol e agora tá deitado e bem quente, mas acho que ele só tá cansado do exercício. Ele tá meio molinho, mas logo deve levantar pra beber água.",cao,EMERGENCIA,imediato,canine_heatstroke,calmo,gemini-3.1-flash-lite,letargia/prostração intensa,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j36,Meu gato caiu da janela do segundo andar e bateu com força no chão. Ele não está conseguindo levantar as patas de trás e está miando de dor.,gato,EMERGENCIA,imediato,high_rise_syndrome_cats,neutro,gemini-3.1-flash-lite,paralisia dos membros posteriores,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j37,"O Thor comeu a ração e agora a barriga dele tá bem estufada e dura, parece até um tambor. Ele tentou vomitar várias vezes mas só sai uma espuminha, acho que ele só tá com gases por causa da comida, vou esperar até amanhã pra ver se melhora.",cao,EMERGENCIA,imediato,gastric_dilatation_volvulus,calmo,gemini-3.1-flash-lite,tentativas improdutivas de vomito,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j38,"Socorro, meu cachorro engoliu um pedaço de osso e agora a língua dele tá ficando roxa e ele não consegue respirar direito! Ele tá desesperado, tentando tossir e agoniado, por favor me ajuda, eu tô entrando em pânico!",cao,EMERGENCIA,imediato,airway_foreign_body_choking,aflito,gemini-3.1-flash-lite,lingua roxa,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j39,"Estou em choque aqui porque meu cachorro comeu um pedaço de chocolate que caiu no chão agora pouco! Ele continua correndo e brincando pela casa como se nada tivesse acontecido, mas estou apavorada com medo de acontecer algo terrível com ele.",cao,NAO_EMERGENCIA,ate_24h,dietary_indiscretion_mild,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j40,"Minha gata está tendo os filhotes agora, já nasceu um e ela está lambendo e cuidando bem dele. Ela parece estar tranquila, só está um pouco ofegante e deitada na caixa que preparei.",gato,NAO_EMERGENCIA,rotina,normal_whelping,neutro,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j41,"Meu gato começou a tremer as patinhas de trás enquanto estava deitado e eu estou desesperada, será que ele está tendo uma parada?! Ele continua andando normal e comendo, mas esse tremor está acabando com meu coração de tanta preocupação.",gato,NAO_EMERGENCIA,rotina,tremors_without_seizure,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j42,"Meu cachorro vomitou uma vez hoje de manhã, mas logo depois voltou a brincar com a bolinha. As fezes dele saíram um pouco amolecidas no passeio, mas ele continua comendo a ração normalmente.",cao,NAO_EMERGENCIA,rotina,single_vomiting_or_mild_diarrhea,neutro,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j43,"Meu cachorro arranhou a barriga no arame e tem um cortinho superficial, estou desesperada porque está saindo um pouquinho de sangue e tenho medo de infeccionar! Preciso saber o que passar, não consigo nem dormir de tanta angústia.",cao,NAO_EMERGENCIA,ate_24h,minor_wound,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j44,"Notei que o meu cachorro está com bastante placa amarela nos dentes de trás. O bafo dele anda bem forte ultimamente, queria saber se preciso levar ele para uma limpeza.",cao,NAO_EMERGENCIA,rotina,periodontal_disease_mild,neutro,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j45,"Meu gato não quis comer a ração úmida hoje e estou em prantos, com medo de ele estar com alguma doença gravíssima! Ele bebe água e brinca, mas estou angustiada porque ele sempre come tudo e isso nunca aconteceu.",gato,NAO_EMERGENCIA,ate_24h,reduced_appetite_no_other_signs,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j46,"Oi, meu cachorro tá se coçando um pouco mais que o normal esses dias e vi que ele tá com umas falhinhas no pelo perto do rabo. Ele continua comendo e brincando como sempre, só queria saber se posso passar algum hidratante.",cao,NAO_EMERGENCIA,rotina,flea_dermatitis_pruritus,neutro,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j47,"Meu Deus, tô desesperada! Meu cachorro estava brincando no jardim e agora apareceu com um inchaço enorme na cara, parece que vai explodir, tô chorando de tanto medo!",cao,NAO_EMERGENCIA,rotina,insect_sting_local_reaction,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j48,"Minha cadela começou a sangrar um pouquinho hoje e notei que a região lá atrás está bem inchadinha. Ela está agindo normal, só está um pouco mais manhosa do que de costume.",cao,NAO_EMERGENCIA,rotina,normal_estrus,neutro,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j49,"Socorro, meu gato brigou com outro na rua e chegou em casa com um furinho no pescoço, estou em pânico total achando que ele pode morrer a qualquer momento! Ele tá quietinho aqui no canto, mas meu coração não aguenta ver ele assim.",gato,NAO_EMERGENCIA,ate_24h,cat_bite_abscess,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j50,"Notei que meu cachorro está pedindo água várias vezes ao dia e consequentemente fazendo muito mais xixi que o costume. Ele não está apático, continua passeando normalmente, mas queria saber se isso é preocupante.",cao,NAO_EMERGENCIA,ate_24h,polyuria_polydipsia_investigate,neutro,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j51,"Estou em choque! Meu gato trouxe um morcego pra dentro de casa e acho que ele chegou a morder o bicho, estou apavorada com medo dele pegar uma doença terrível! Ele parece bem, mas não consigo nem dormir de tanta angústia.",gato,NAO_EMERGENCIA,ate_24h,rabies_exposure_wild_animal_bite,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j52,"Meu cachorro está balançando a cabeça de vez em quando e vi que tem uma sujeirinha marrom na orelha dele. Ele não parece estar com dor, mas acho melhor perguntar o que devo fazer para limpar.",cao,NAO_EMERGENCIA,rotina,otitis_externa_mild,neutro,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j53,"Meu gato tá muito velho e hoje acordou travado, mal consegue subir no sofá, meu mundo tá desabando de ver ele sofrendo assim! É de partir o coração, ele fica parado e parece que tá com as juntas todas duras.",gato,NAO_EMERGENCIA,rotina,osteoarthritis_stiffness,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j54,"Apareceu um carocinho embaixo da pele do meu cachorro faz umas semanas e ele não parece crescer muito. Ele não reclama quando encosto lá, continua super animado, só queria saber se preciso me preocupar.",cao,NAO_EMERGENCIA,rotina,slow_growing_lump,neutro,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j55,"Gente, estou desesperada porque meu cachorro não para de fazer xixi pela casa toda! Ele fica indo no tapete toda hora, parece que não aguenta segurar nada e estou em pânico com isso.",cao,NAO_EMERGENCIA,ate_24h,inappropriate_urination_or_cystitis,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j56,"Meu cachorro brincou de buscar a bolinha no quintal por uns 15 minutos. Agora ele está deitado na sombra com a língua para fora e respirando um pouco mais rápido, mas logo deve acalmar.",cao,NAO_EMERGENCIA,rotina,exertional_panting_mild,neutro,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j57,"Meu gato está mancando da patinha traseira e meu coração está partido de vê-lo assim, é horrível! Ele mal encosta a pata no chão e estou achando que ele pode estar sentindo uma dor insuportável.",gato,NAO_EMERGENCIA,ate_24h,mild_lameness,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j58,"Meu cachorro começou a dar umas tossidinhas secas hoje de manhã. Ele continua comendo e brincando normalmente, só faz esse barulho de vez em quando.",cao,NAO_EMERGENCIA,ate_24h,kennel_cough_mild,neutro,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j59,"Estou em choque, o olho do meu gato acordou todo remelado e meio fechadinho! É uma tragédia ver meu bichinho assim, estou muito preocupada se ele vai ficar cego por causa disso.",gato,NAO_EMERGENCIA,ate_24h,mild_conjunctivitis,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j60,Notei dois carrapatos no meu cachorro hoje depois do passeio no parque. Ele está se comportando normalmente e não vi nenhum sinal de prostração ou falta de apetite.,cao,NAO_EMERGENCIA,rotina,ticks_found_no_signs,neutro,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j61,"Meu cachorro não para de espirrar e o nariz dele está saindo uma aguinha, estou muito angustiada com isso! Parece que ele está sofrendo demais, será que ele está ficando muito doente?",cao,NAO_EMERGENCIA,rotina,mild_upper_respiratory_signs,aflito,gemini-3.1-flash-lite,,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
